"","ARI","n.clusters","runtime","seed"
"1",0.72683692772606,5,0.499829002221425,736537503.706881
"2",0.72683692772606,5,0.50597943464915,1336570342.96583
"3",0.72683692772606,5,0.506234534581502,652551597.870613
"4",0.72683692772606,5,0.505127600828807,82413601.8937677
"5",0.72683692772606,5,0.503383950392405,538222508.133129
"6",0.72683692772606,5,0.502499500910441,1267152165.07247
"7",0.72683692772606,5,0.503411599000295,956658545.43498
"8",0.72683692772606,5,0.505776766935984,396758393.048939
"9",0.72683692772606,5,0.502872733275096,548511724.672981
"10",0.72683692772606,5,0.504718999067942,204006781.22564
