"","ARI","n.clusters","runtime","seed"
"1",0.89365413335951,3,0.0259940187136332,423746668.516915
"2",0.89365413335951,3,0.0260528842608134,1046933806.43209
"3",0.89365413335951,3,0.0268667340278625,295475474.039453
"4",0.89365413335951,3,0.025553834438324,1371865844.58268
"5",0.89365413335951,3,0.0265949805577596,1611198832.44894
"6",0.89365413335951,3,0.026677668094635,309117161.367966
"7",0.89365413335951,3,0.0267862836519877,796695722.240189
"8",0.89365413335951,3,0.0276880145072937,1312097558.115
"9",0.89365413335951,3,0.0289067665735881,571082661.347682
"10",0.89365413335951,3,0.0284806172053019,884397763.882916
