"","ARI","n.clusters","runtime","seed"
"1",0.876193115167633,12,3.19205681880315,256620410.751569
"2",0.959152945457768,12,3.37305858135223,944575148.289171
"3",0.954403102768985,11,2.54559928576152,1304682519.89585
"4",0.957084242029767,11,3.19773765007655,641515028.881884
"5",0.958801396472969,13,3.18302020231883,1528636762.36208
"6",0.954403102768985,11,2.58061493237813,7961893.79481593
"7",0.956533346647986,11,3.05371521711349,1048394521.16943
"8",0.840531477379659,8,1.33948980172475,138371363.81143
"9",0.958801396472969,13,4.26219573418299,1549107428.23155
"10",0.954188206457359,11,2.84715581337611,724807691.398912
