"","ARI","n.clusters","runtime","seed"
"1",0.909947518297172,5,3.04094733397166,1465899329.19997
"2",0.870509673611783,6,3.29964830080668,1055333709.02468
"3",0.929688175398739,4,3.13907004992167,1029488063.30432
"4",0.934257557922157,4,3.26950311660767,450128026.953721
"5",0.931035136796166,4,3.42014509836833,1230787181.52017
"6",0.900870275198861,5,3.04291034936905,1151482072.7946
"7",0.900870275198861,5,3.17034768263499,168500448.7195
"8",0.864448582558799,6,3.10578688383102,420833642.534724
"9",0.906030374389037,5,4.2649765809377,162647913.580664
"10",0.903614771795336,5,3.08224551677704,1073096350.55061
