"","ARI","n.clusters","runtime","seed"
"1",0.783588324519159,5,5.84601451555888,NA
"2",0.783588324519159,5,5.73050585190455,NA
"3",0.783588324519159,5,5.70294253428777,NA
"4",0,0,0,0
"5",0,0,0,0
"6",0,0,0,0
"7",0,0,0,0
"8",0,0,0,0
"9",0,0,0,0
"10",0,0,0,0
