"","ARI","n.clusters","runtime","seed"
"1",0.606047725554292,10,2.97596073547999,256619345.047289
"2",0.307201221946884,3,1.89227457046509,944571218.118688
"3",0.215045898526374,2,3.051831082503,1304677020.42461
"4",0.598164823023079,10,4.3218804359436,641512336.71145
"5",0.327057607119195,2,2.48344664971034,1528630410.44175
"6",0.225341434445512,2,3.26567779779434,7961860.50626713
"7",0.753550687299077,9,3.52550721565882,1048390164.2342
"8",0.587699349432418,8,2.4206381837527,138370791.163759
"9",0.6264979885475,9,3.07629597981771,1549101078.80267
"10",0.269197648452022,4,2.13169221878052,724804689.005317
