"","ARI","n.clusters","runtime","seed"
"1",0.502162041106161,11,0.165842680136363,964300467.224305
"2",0.50139247803136,11,0.174387566248576,411640740.825966
"3",0.50139247803136,11,0.178624999523163,275290864.078896
"4",0.499744196175893,11,0.179090368747711,357012381.024747
"5",0.50139247803136,11,0.178146866957347,965140438.150481
"6",0.501766003510263,11,0.180643781026204,1547789471.78741
"7",0.50139247803136,11,0.180526463190715,161227183.626007
"8",0.502162041106161,11,0.16964408159256,72255686.9315756
"9",0.50139247803136,11,0.179900296529134,529456292.420877
"10",0.50139247803136,11,0.171217580636342,1175889964.52086
