"","ARI","n.clusters","runtime","seed"
"1",0.504950967074825,7,0.105215883255005,256890558.762507
"2",0.504950967074825,7,0.0969166000684102,1477327115.88631
"3",0.501867392214257,7,0.105481199423472,1590560652.46475
"4",0.504512440707662,7,0.0947141329447428,67298257.9224115
"5",0.504512440707662,7,0.106541279951731,374389455.162874
"6",0.501867392214257,7,0.108291232585907,1169718120.91225
"7",0.504950967074825,7,0.104985864957174,37607205.181706
"8",0.502853689001566,7,0.0954467177391052,152062287.978315
"9",0.502426814224662,7,0.0970877329508464,284553529.784504
"10",0.501867392214257,7,0.107390832901001,725281641.707981
