"","ARI","n.clusters","runtime","seed"
"1",0.659740637272245,6,2.52579044898351,256619819.377669
"2",0.636319245688092,5,3.44455011685689,944572948.42505
"3",0.620439668883577,5,3.26895020008087,1304679484.7882
"4",0.750145549093774,4,1.99878290096919,641513553.560754
"5",0.60576861259146,2,1.78492393493652,1528633179.55772
"6",0.65655481554276,5,3.2576380332311,7961874.72487326
"7",0.622632036721778,5,4.09384706815084,1048392036.18104
"8",0.61382351986024,5,3.51232144832611,138371041.119913
"9",0.631484302529366,5,2.46695521672567,1549103939.26051
"10",0.644146943692361,5,3.11021614869436,724806011.152097
