"","ARI","n.clusters","runtime","seed"
"1",0.36003312372474,4,0.0355664491653442,254707897.332121
"2",0.36003312372474,4,0.0363221168518066,1041877843.50292
"3",0.36003312372474,4,0.0350746154785156,763998090.571708
"4",0.36003312372474,4,0.0348885973294576,888555657.425115
"5",0.36003312372474,4,0.0376798033714294,1225522296.81591
"6",0.36003312372474,4,0.0332097848256429,1342834741.90705
"7",0.36003312372474,4,0.0349632183710734,24423795.3680533
"8",0.36003312372474,4,0.0425935506820679,23616157.8716874
"9",0.36003312372474,4,0.0328924338022868,314083948.217957
"10",0.36003312372474,4,0.0339430848757426,972036177.33358
