"","ARI","n.clusters","runtime","seed"
"1",0.596744243678798,6,0.526041984558105,159746360.980082
"2",0.596744243678798,6,0.529341916243235,512177033.087268
"3",0.596744243678798,6,0.512731846173604,757066618.741968
"4",0.596744243678798,6,0.528457502524058,300854803.127751
"5",0.596744243678798,6,0.561150348186493,743181883.618209
"6",0.596744243678798,6,0.502438950538635,1184868701.22717
"7",0.596744243678798,6,0.515059431393941,264115520.266997
"8",0.596744243678798,6,0.507938098907471,616642179.44728
"9",0.596744243678798,6,0.506187681357066,548509161.529534
"10",0.596744243678798,6,0.504453333218892,1301445964.58228
