"","ARI","n.clusters","runtime","seed"
"1",0.179446317374003,8,0.694489065806071,1308626160.91407
"2",0.179446317374003,8,0.687823283672333,722578815.36454
"3",0.179446317374003,8,0.641845683256785,669465528.201043
"4",0.179446317374003,8,0.681563886006673,559710797.073593
"5",0.179446317374003,8,0.738126548131307,1401608764.0873
"6",0.179446317374003,8,0.645179716746012,959793462.898909
"7",0.179446317374003,8,0.642951782544454,812919808.292242
"8",0.179446317374003,8,0.634650150934855,1004431833.24207
"9",0.179446317374003,8,0.645267184575399,833041653.636216
"10",0.179446317374003,8,0.643728915850321,470416916.375245
